gamma,mu,relational_polarization_mean,relational_polarization_std,ideological_polarization_mean,ideological_polarization_std,avg_communities,actors,communities
2.5,0.1,0.510007296926379,0.00143521521181256,0.6587289241894503,0.19388404408393206,8.4,1000,9
2.5,0.15000000000000002,0.509878704428786,0.0017706861656258416,0.6823346699740968,0.21202860052728836,8.85,1000,9
2.5,0.2,0.5100558244356829,0.0022170016253884794,0.6916597843677063,0.2134972811119077,8.3,1000,9
2.5,0.25,0.43382331274887287,0.18424287412720464,0.6489603426910286,0.1931677668955938,8.5,1000,9
2.5,0.30000000000000004,0.3567073144907323,0.2353711059242942,0.5707108578093536,0.14032384376427717,8.5,1000,9
2.5,0.35,0.28082545434513073,0.2546713569929206,0.4760284251276006,0.06506388301726232,8.9,1000,9
2.5,0.4,0.13041165118652992,0.2204232094285891,0.49218370495190344,0.024041124492221726,8.7,1000,9
2.5,0.45000000000000007,0.15488002690565716,0.23263086031888633,0.49988,0.0001880649383926507,8.1,1000,9
2.5,0.5,0.229757012158517,0.2531748644268222,0.48997291108039753,0.030214316292742766,8.45,1000,9
2.5,0.55,0.13019883690514394,0.21992528074852666,0.5034016628104686,0.01587495209865517,8.4,1000,9
2.5,0.6,0.13034051018720436,0.22020307257288813,0.495104190453121,0.02151874288827012,8.45,1000,9
