gamma,mu,relational_polarization_mean,relational_polarization_std,ideological_polarization_mean,ideological_polarization_std,avg_communities,actors,communities
2.5,0.1,0.502026638876486,0.00030286520318794963,0.6883102832846952,0.19715880731306065,18.6,5000,22
2.5,0.15000000000000002,0.5019927040791373,0.00025020559225710873,0.6708459957380044,0.18541453405627906,20.15,5000,22
2.5,0.2,0.5019985871190709,0.0002651827332446758,0.6655158016033751,0.2025072561246084,19.9,5000,22
2.5,0.25,0.4518208569060812,0.1540790130316252,0.6479917171969515,0.17910162906701246,18.6,5000,22
2.5,0.3,0.4266940577257435,0.1833499145874255,0.6205886656240802,0.155009024471197,20.15,5000,22
2.5,0.35,0.22622611094360212,0.2551416832208606,0.5146009403674574,0.03486774553715087,19.9,5000,22
2.5,0.4,0.22625623721890792,0.25516691148545295,0.5053368818533636,0.0544400161074855,19.35,5000,22
2.5,0.44999999999999996,0.27629330526435664,0.2552151119971944,0.49523950853047377,0.06311306755696679,18.5,5000,22
2.5,0.5,0.1263254446579466,0.22219640524938847,0.49812697346331014,0.06576345136351132,18.2,5000,22
2.5,0.55,0.10115802184779028,0.204939494554486,0.49519261858827485,0.021426924141364084,19.6,5000,22
2.5,0.6,0.12614181017454754,0.22186716438710288,0.4957932623812441,0.018737810757706877,19.85,5000,22
